eeschema (2011-nov-30)-stable  >> Creation date: Fri Mar  1 17:02:45 2013

#Cmp ( order = Reference )
| C1         100n        ; SM0402      
| C2         47uF        ; SM1206      
| C3         10nF?       ; SM0402      
| C4         4.7n 1kV    ; SM1206      
| C5         100n        ; SM0402      
| C6         1u          ; SM0402      
| C7         4.7uF       ; SM0603      
| C8         47u         ; SM1206      
| C9         1u          ; SM0402      
| C10        47u         ; SM1206      
| C11        1u 10V      ; SM0402      
| C12        1u 10V      ; SM0402      
| C13        1u 10V      ; SM0402      
| C14        2.2u        ; SM0402      
| C17        1u          ; SM0402      
| C18        1u          ; SM0402      
| C19        1u          ; SM0402      
| C20        33u, 20V    ; SM1206      
| C21        10u, 6V     ; SM0603      
| C22        100n        ; SM0402      
| C23        100n        ; SM0402      
| C24        1u          ; SM0402      
| C25        4.7uF 10V   ; SM0603      
| C26        20p         ; SM0402      
| C27        20p         ; SM0402      
| C28        10u         ; SM0603      
| C29        440n        ; SM0402      
| C30        33p 50V     ; SM0402      
| C31        33p 50V     ; SM0402      
| C32        33p 50V     ; SM0402      
| C33        33p 50V     ; SM0402      
| C34        220p 50V    ; SM0402      
| C35        1u 50V      ; SM0805      
| C36        33p 50V     ; SM0402      
| C37        C           ; SM0402      
| C38        C           ; SM0402      
| C39        C           ; SM0402      
| C40        C           ; SM0402      
| C41        C           ; SM0402      
| C42        C           ; SM0402      
| C43        C           ; SM0402      
| C44        C           ; SM0402      
| C45        33p         ; SM0402      
| C46        5n NP0      ; SM0402      
| C47        C           ; SM0402      
| C48        C           ; SM0402      
| C49        C           ; SM0402      
| C50        C           ; SM0402      
| C51        33p 50V     ; SM0402      
| C52        33p 50V     ; SM0402      
| C53        33p 50V     ; SM0402      
| C54        33p 50V     ; SM0402      
| C55        200n        ; SM0402      
| C56        33p 50V     ; SM0402      
| C57        200n        ; SM0402      
| C58        200n        ; SM0402      
| C59        200n        ; SM0402      
| C60        C           ; SM0402      
| C61        C           ; SM0402      
| C62        C           ; SM0402      
| C63        C           ; SM0402      
| C64        C           ; SM0402      
| C65        C           ; SM0402      
| C66        C           ; SM0402      
| C67        C           ; SM0402      
| C68        200n        ; SM0402      
| C69        C           ; SM0402      
| C70        C           ; SM0402      
| C71        C           ; SM0402      
| C72        C           ; SM0402      
| C73        100n, 20V   ; SM0402      
| C74        4.7u        ; SM0603      
| C75        10u         ; SM0603      
| C76        10u         ; SM0603      
| C77        10u         ; SM0603      
| C78        22u         ; SM0805      
| C79        20p         ; SM0402      
| C80        20p         ; SM0402      
| C81        ?           ; SM0402      
| C82        ?           ; SM0402      
| C83        200n        ; SM0402      
| C84        3.3n 50V    ; SM0402      
| C85        500p        ; SM0402      
| C86        5n NP0      ; SM0402      
| C87        33n         ; SM0402      
| C88        5n NP0      ; SM0402      
| C89        33n         ; SM0402      
| C90        1n          ; SM0402      
| C91        33n         ; SM0402      
| C92        33n         ; SM0402      
| C93        100n        ; SM0402      
| D1         CD0603-B0130L; SM0603      
| D2         DIODESCH    ; SM0603      
| D3         BZT52C5V6T-7; SM0603      
| D4         CD0603-B0130L; SM0603      
| D5         CD0603-B0130L; SM0603      
| D6         LED         ; SM0402      
| D7         LED         ; SM0402      
| FB1        FILTER      ; SM0603      
| IC1        ATTINY24-M  ; QFN20       
| L1         33uH KEMET  ; SM1206      
| L2         10uH        ; SM0805      
| P1         CONN_4      ; MYUSB       
| P2         CONN_1      ; MYPAD       
| P3         CONN_1      ; MYPAD       
| P5         CONN_5      ; MYPROG      
| P15        CONN_1      ; MYPAD       
| P16        CONN_1      ; MYPAD       
| P17        CONN_1      ; MYPAD       
| P18        CONN_1      ; MYPAD       
| P19        CONN_1      ; MYPAD       
| P20        CONN_1      ; MYPAD       
| P21        CONN_1      ; MYPAD       
| P22        CONN_1      ; MYPAD       
| P23        CONN_1      ; MYPAD       
| Q1         P           ; MYBSH201    
| R1         ?           ; SM0402      
| R2         1M          ; SM0402      
| R3         10k         ; SM0402      
| R4         inf         ; SM0402      
| R5         ?           ; SM0402      
| R6         ?           ; SM0402      
| R7         ?           ; SM0402      
| R8         ?           ; SM0402      
| R9         ?           ; SM0402      
| R10        ?           ; SM0402      
| R11        10k         ; SM0402      
| R12        10k         ; SM0402      
| R13        10k         ; SM0402      
| R14        10k         ; SM0402      
| R15        100k        ; MYMELF      
| R16        100k        ; MYMELF      
| R17        100k        ; MYMELF      
| R18        100k        ; MYMELF      
| R19        33k         ; MYMELF      
| R20        440         ; SM0402      
| R21        10k         ; SM0402      
| R22        10k         ; SM0402      
| R23        10k         ; SM0402      
| R24        10k         ; SM0402      
| R25        1k          ; SM0402      
| R26        200         ; SM0402      
| R27        150k        ; SM0402      
| R28        100         ; SM0402      
| R29        50          ; SM0402      
| R30        ?           ; SM0402      
| R31        ?           ; SM0402      
| R32        ?           ; SM0402      
| R33        ?           ; SM0402      
| R34        ?           ; SM0402      
| R35        ?           ; SM0402      
| R36        ?           ; SM0402      
| R37        ?           ; SM0402      
| R38        ?           ; SM0402      
| R39        ?           ; SM0402      
| R40        ?           ; SM0402      
| R41        ?           ; SM0402      
| R42        50k         ; SM0402      
| R43        100k        ; SM0402      
| R44        ?           ; SM0402      
| R45        ?           ; SM0402      
| R46        ?           ; SM0402      
| R47        ?           ; SM0402      
| R48        5k          ; SM0402      
| R49        50k         ; SM0402      
| R50        100k        ; MYMELF      
| R51        100k        ; MYMELF      
| R52        100k        ; MYMELF      
| R53        100k        ; MYMELF      
| R54        100k        ; SM0402      
| R55        100k        ; SM0402      
| R56        100k        ; SM0402      
| R57        100k        ; SM0402      
| R58        100k        ; MYMELF      
| R59        10k         ; SM0402      
| R60        10k         ; SM0402      
| R61        10k         ; SM0402      
| R62        10k         ; SM0402      
| R63        10k         ; SM0402      
| R64        ?           ; SM0402      
| R65        ?           ; SM0402      
| R66        ?           ; SM0402      
| R67        ?           ; SM0402      
| R68        ?           ; SM0402      
| R69        ?           ; SM0402      
| R70        ?           ; SM0402      
